Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
40,PMR2-15,446.018750,,0.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
41,PMR2-16,446.018750,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
42,PMR2-17,446.018750,,0.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
43,PMR2-18,446.018750,,0.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
44,PMR2-19,446.018750,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
45,PMR2-20,446.018750,,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
46,PMR2-21,446.018750,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
47,PMR2-22,446.018750,,0.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
48,PMR2-23,446.018750,,0.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
49,PMR2-24,446.018750,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
50,PMR3,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
51,PMR3-01,446.031250,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
52,PMR3-02,446.031250,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
53,PMR3-03,446.031250,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
54,PMR3-04,446.031250,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
55,PMR3-05,446.031250,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
56,PMR3-06,446.031250,,0.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
57,PMR3-07,446.031250,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
58,PMR3-08,446.031250,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
59,PMR3-09,446.031250,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
60,PMR3-10,446.031250,,0.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
61,PMR3-11,446.031250,,0.000000,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
62,PMR3-12,446.031250,,0.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
63,PMR3-13,446.031250,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
64,PMR3-14,446.031250,,0.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
65,PMR3-15,446.031250,,0.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
66,PMR3-16,446.031250,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
